책장명,도서분류,책제목,작가,출판사,상세내용
1번 책장,웹툰/카툰에세이,우리 집 늙은 고양이가 하는 말,후지노 하루카,디앤씨미디어,언젠가 떠나갈 네가 편하고 행복하게 그날을 준비할 수 있기를……이제 20세가 다 된 고양이 푸(파푸아)와 함께 살아가는 나날.고양이의 20세는 사람 나이로 치면 100세가 넘는다고 한다...
1번 책장,웹툰/카툰에세이,우리 집 마당의 개,쿠니노이 아이코,미우,“사랑스런 우리 멍이의 모든 것”애견인 공감 100% 반려견 에세이! 불심검문 당할 듯한 대(大) 고양이시대. 애묘이즘의 위세에 굴하지 않는 당당한 애견 만화가 등장했다. 신인 쿠니노이...
1번 책장,만화,666 사탄. 19,Seishi Kishimoto,학산문화사,"드디어 궁극의 카발라의 힘이 해방되어 세상은 아마겟돈에 휩싸인다. 절망이 세상을 지배하는 와중에, 지오가 선택한 길은...?! 감동의 최종권,강림!!"
1번 책장,웹툰/카툰에세이,작게 걷기,이다,웅진지식하우스,"공감 300%를 이끌어내는 그림 여행기 [이다의 작게 걷기]. 통영의 봄, 서울의 여름, 경주의 가을, 아산의 겨울, 그리고 생활 공간인 부천. 이 책에서 이다가 여행하는 곳들이다. 흔한 곳..."
1번 책장,웹툰/카툰에세이,동네변호사 조들호. 6(특별판),해츨링,사람in,"모두가 등을 돌릴 때 얼굴을 바라봐 주는 사람. 『동네변호사 조들호』 제6권(특별판). 첩첩산중 촌구석에서 태어나, 사법고시 수석 입학 및 졸업. 전도유망한 검사이자 거대 로펌 대표이사..."
1번 책장,웹툰/카툰에세이,[만화] 미생,윤태호,위즈덤하우스,
1번 책장,웹툰/카툰에세이,기생수. 8,이와아키 히토시,학산문화사,누가 정하는 거지? 인간과 그 밖의 생명의 기준은 누가 정해 주는 거야? 인류의 문명에 경종을...지구상의 모든 생명에 경의를『기생수 제8권』감동의 완결편!!
1번 책장,웹툰/카툰에세이,마루의 사실 3,의외의사실,애니북스,『마루의 사실』은 말 없고 조심스러운 개 마루와 보내는 사소하지만 즐거운 일상을 그린 이야기다. 개 마루를 향한 애틋함과 개와 살며 비로소 깨닫게 된 사실들이 차분하고 애정 가득한...
1번 책장,웹툰/카툰에세이,[만화] 두근두근 두근거려,하일권,소담출판사,
1번 책장,웹툰/카툰에세이,엄마와 딸X2. 4(완결),필냉이,페이퍼쉽미디어,"필냉이 만화 『엄마와 딸X2』제4권. 제목 그대로 모녀 삼대가 갑작스럽게 함께 살면서 벌어지는 이야기를 아기자기하게 다룬 웹툰이다. 때로는 할머니와 엄마, 때로는 엄마와 나, 또 때로는..."
1번 책장,웹툰/카툰에세이,숨비소리. 2,휘이,창비,"넘어지고 또 넘어지는 서른 살 경복이의 삶. 휘이 만화 『숨비소리』 제2권. 상당 부분을 자전적 이야기에 기반한 이 작품은 가난, 가정폭력, 성폭력 등 잇따른 불행에 시달리는 주인공..."
1번 책장,웹툰/카툰에세이,안나라수마나라. 3,하일권,소담출판사,", 의 작가 하일권의 인기 웹툰『안나라수마나라』제3권(완결). 너무도 일찍 어른이 되어버린 윤아이, 오직 성공한 삶을 위해 악착같이 1등을 유지하는 소년 나일등, 어른이 되어서도 아이로..."
1번 책장,웹툰/카툰에세이,사랑일까?. 4,남지은,홍익출판사,"""네이버 인기리 연재 웹툰, 한. 중 합작 영화화 전격 결정!""'올해는 꼭 사랑하게 해주세요!'라고 간절히 바라면 사랑이 올까?같은 날에 태어난 너무 다른 두 남녀가 생일 케이크 앞에서 빌던..."
1번 책장,웹툰/카툰에세이,루나 파크 옷걸이 통신,홍인혜,씨네21북스,"하나 같이 내 맘 같은 우리들의 패션 수다! 옷걸이 통신원 루나의 깨알 공감 토크『루나 파크 옷걸이 통신』.《루나 파크》,《루나 V파크 사춘기 직장인》,《지금이 아니면 안 될 것 같아서..."
1번 책장,웹툰/카툰에세이,재앙은 미묘하게 3,안성호,서울문화사,『재앙은 미묘하게』제3권. 소음과 불신에 최고조로 치닫는 분노! 숨죽인 고요함 속에 피 튀기는 전쟁이 시작된다.
1번 책장,웹툰/카툰에세이,남과 여. 7(완결),혀노,영컴,"《죽음에 관하여》, 《네가 없는 세상》혀노 작가의 솔로 데뷔작 『남과 여』제7권 완결. 남자와 여자의 심리파악이 뛰어나며, 현실성 넘치는 연출과 감정묘사로 네이버 베스트 도전에서부터..."
1번 책장,웹툰/카툰에세이,독고. 6,민,엔트리,"민, 백승훈 만화 『독고』제6권. 정의감에 불타는 전국 1등의 수재, 강후 학교에서 왕따가 된 후 집단 폭행을 당한 쌍둥이 형 강후의 죽음으로 한 가정이 풍비박산 났다. 동생 강혁은 참을..."
1번 책장,웹툰/카툰에세이,그다이. 4,,레진코믹스,"<그다이>를 아직 안 본 사람은 있어도, 보다 만 사람은 없다!압도적 서스펜스, 블랙홀 같은 흡인력, 빼박 정주행!레진코믹스 명품 미스터리 스릴러 웹툰 “믿고 보는 입덕툰.” “개꿀잼..."
1번 책장,웹툰/카툰에세이,[만화] 지상최악의 소년,정필원,재미주의,
1번 책장,웹툰/카툰에세이,신과 함께: 신화편. 3,주호민,애니북스,신화를 통해 지금의 우리가 추구해야 할 가치를 말하다! 한국 신화를 재해석한 주호민의 만화 『신과 함께: 신화편』 제3권. 우리 전통과 신화를 배경으로 활용하여 한국적인 이미지를 그려...
1번 책장,웹툰/카툰에세이,운빨 로맨스. 3,김달님,재미주의,도덕책 그림체로 사람 설레게 한다던 그 만화! 김달님 만화『운빨 로맨스』 제3권. 극단적으로 다른 두 남녀가 만나 티격태격하다 조금씩 서로를 이해하며 가까워지는 스토리를 담았다...
1번 책장,웹툰/카툰에세이,냄새를 보는 소녀. 3: 틴트 요정,만취,재미주의,SBS 드라마 《냄새를 보는 소녀》원작 만화! 만취 만화 『냄새를 보는 소녀』제3권. 후각을 시각으로 전환하여 느끼는 공감각적 특수 능력을 얻게 된 소녀 윤새아와 그 능력을 범죄 수사에...
1번 책장,웹툰/카툰에세이,목욕의 신. 3,하일권,재미주의,거짓으로 가득 찬 도시에서 잠시나마 가식을 벗어던질 수 있는 곳.- 그곳에 ‘신의 손’을 가진 한 남자가 뛰어들었다.목욕관리사를 다룬 최초의 만화 『목욕의 신』! 목욕관리사를 다뤘던...
1번 책장,웹툰/카툰에세이,무빙. 5,강풀,위즈덤하우스,이야기꾼 강풀이 그려낸 한국형 히어로물! 강풀 열두 번째 장편만화 『무빙』제5권. 웹툰으로 연재될 당시 ‘무빙 업로드 언제’가 매주 검색어 1위에 오를 정도로 큰 화제를 모았던 강풀의...
1번 책장,웹툰/카툰에세이,통. 4,민,네오북스,『통』 제4권은 매주 일요일 웹툰으로 만나왔던 만화를 책으로 엮은 것이다. 이 책은 저자가 15년 전에 쓴 『통』이라는 소설이 만화작가 백승훈을 만나게 되어 세상 밖으로 나왔다. 부산...
1번 책장,웹툰/카툰에세이,통: 비밀. 4,민,네오카툰,극한 액션의 절대 영역“더 이상 과거는 없다. 있다고 해도 모두 비밀이다.”화제 만발 액션 웹툰의 제왕!웹툰 〈통〉 시즌 2 전격 발매!웹툰 〈통〉 시즌 1이 이룬 공전의 히트는 매우 극적...
1번 책장,웹툰/카툰에세이,통: 유아독존. 5,민,네오카툰,웹툰 〈통〉 시즌 3 전격 발매 『통: 유아독존』 제5권. 이제 이정우에게 남은 것은 여전히 그 곁을 지켜주는 친구들을 위해 앞으로 나아가는 일뿐이다. 이정우의 남다른 스케일은 기존에...
1번 책장,웹툰/카툰에세이,노블레스 Season6. 3: 움직이는 웨어 울프,손제호,바이브릿지,"손제호, 이광수 만화 『노블레스 Season6』제3권. 라스크레아는 웨어 울프의 전 로드 무자카와 일대 격돌을 벌인 라이로부터 이상 기운을 감지한다. 그것은 바로 라이의 생명력이..."
1번 책장,웹툰/카툰에세이,오무라이스 잼잼. 8,조경규,송송책방,"“이렇게 좋아하는 표정을 보니 이 아빠의 가슴은 또 뭉클!”무엇을 먹는가보다 누구와, 어떤 마음으로 먹느냐가 더 중요한 법!소박한 일상음식을 더 행복한 마음으로 먹자고 이야기하는..."
1번 책장,웹툰/카툰에세이,치즈 인 더 트랩 시즌 4 - 3,순끼,바이브릿지,평범한 여대생 ‘홍설’과 수상한 선배 ‘유정’이 만들어가는 캠퍼스 스토리! 치즈처럼 규정지을 수 없는 미묘하고 다양한 맛의 웹툰 『치즈인더트랩 시즌 4』 제3권. 2010년부터 2017...
1번 책장,웹툰/카툰에세이,다이어터. 3(완결): 건강지속 편,네온비,중앙북스,"고도비만 25세 신수지의 본격 다이어트! 건강한 생활을 위한 본격 다이어트 웹툰 『다이어터』 제3권 완결 《감량성공》 편. 포털사이트 ‘다음’에 연재되었으며, 네티즌들의 입소문을..."
1번 책장,웹툰/카툰에세이,이말년 씨리즈. 2: 격돌 락스피릿베이비 VS 힙합베짱이,이말년,중앙북스,"한국 개그만화계의 새바람, 이말년! 중독성 강한 이말년의 개그 만화 『이말년 씨리즈』 두 번째 책 . 아무렇게나 대충 그린 듯 호쾌한 그림과 개그를 결합하여 각종 포털 사이트를..."
1번 책장,웹툰/카툰에세이,수줍어서 그래. 1,심모람,레진코믹스,"수줍은 영혼들을 위한 권장 도서! 어릴 적 tv를 보면 뭐든지 척척해내는 커리어 우먼을 보면서 어른이 되면 당당해지리라 상상한다. 허나 현실은 배달 전화 하나에도 긴장을 하고, 사람..."
1번 책장,웹툰/카툰에세이,505 생활만화. 1,오배고,레진코믹스,"“그리기 싫은데 너무나 그리고 싶다!” 귀여운 생활만화가의 웃프고 쿨짠한 일상! 오배고 만화 『505 생활만화』. 오배고동에 살아서 이름은 505. 아니, 505동에 살아서 이름은 오배고. 이..."
1번 책장,웹툰/카툰에세이,김케장 단편선,김케장,나무야미안해,케장을 이미 알고 있는 사람들은 모두 알다시피 절대 기술적으로 잘 그린 그림이나 치밀한 스토리라인을 가진 만화는 아니다. 어쩌면 무성의함이 돋보일 정도이다. 깔끔하고 느낌 좋은...
1번 책장,웹툰/카툰에세이,선천적 얼간이들. 4,가스파드,재미주의,"『선천적 얼간이들』은 얼굴로 웃기는 못생긴 캐릭터, 유치한 개그 하나 없이 세련된 작화로도 충분히 웃길 수 있다는 가능성을 보여주는 작품이다. 작가와 그의 절친들의 유쾌했던 추억을..."
1번 책장,웹툰/카툰에세이,싸우자 귀신아 2,임인스,보리별,임인스 만화 『싸우자 귀신아』제2권. ‘싸우자 귀신아’의 주인공 봉팔은 귀신이 보이고 만져지는 특별한 능력을 지녔다. 그러나 귀신을 본다는 이유로?왕따를 당하고?주변의 편견으로 인해...
1번 책장,웹툰/카툰에세이,썸툰 02,모히또모히칸,(주)이미지앤노블,모히또모히칸의 만화 『썸툰』 시즌 제2권. 실화를 바탕으로 썸타는 연인들의 이야기를 진짜 달달하고 가끔은 아련하게 씁쓸하고 사랑스런 이야기들이 펼쳐진다. 너무 달달해서 현실에는...
1번 책장,웹툰/카툰에세이,옹동스. 2,권윤주,위즈덤하우스,"스노우캣의 반려묘 두 번째 이야기『옹동스』제2권. 반려묘인 나옹, 은동과 함께 살아가는 이야기 '옹동스'를 카카오페이지에 2년 넘게 연재하고 있는 스노우캣. 반려동물을 키우는 사람들의..."
1번 책장,웹툰/카툰에세이,패션왕. 2,기안84,중앙북스,"의 참맛은 표현의 과격함, 과장된 묘사에 있다. 멋이 넘치다 못해 폭발하고, 멋이 흐르는 곳은 폭풍우가 몰아친다. 전기가 한데 모아져 번개를 치고 머리가 홀랑 타 버린다. 허허실실한 만화..."
1번 책장,웹툰/카툰에세이,십이야. 8(완결),무류,발해,"우리는 처음부터 알고 있었지만나는 눈을 돌리고너는 고개를 돌리고,우리는 발길을 돌렸다. 뒤틀린 운명 이 꽃은 피지 못하고저 꽃은 지지 못하니 너와 내가 알지만,나와 너는 모를 이야기..."
